DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Notificação por Município de notificação e Div.adm.estadual de notific
Período:2007
"Município de notificação";"3501 Grande São Paulo";"3502 Araçatuba";"3503 Araraquara";"3504 Baixada Santista";"3505 Barretos";"3506 Bauru";"3507 Campinas";"3508 Franca";"3509 Marília";"3510 Piracicaba";"3511 Presidente Prudente";"3512 Registro";"3513 Ribeirão Preto";"3514 São João da Boa Vista";"3515 São José do Rio Preto";"3516 Sorocaba";"3517 Taubaté";"Total"
"351630 Francisco Morato";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351640 Franco da Rocha";21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"351650 Gabriel Monteiro";-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"351660 Gália";-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;24
"351670 Garça";-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;10
"351680 Gastão Vidigal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2
"351690 General Salgado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;99
"351700 Getulina";-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;59
"351710 Glicério";-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59
"351720 Guaiçara";-;-;-;-;-;94;-;-;-;-;-;-;-;-;-;-;-;94
"351730 Guaimbê";-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;12
"351740 Guaíra";-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;-;-;99
"351750 Guapiaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;20
"351770 Guará";-;-;-;-;-;-;-;37;-;-;-;-;-;-;-;-;-;37
"351780 Guaraçaí";-;652;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;652
"351790 Guaraci";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;5
